# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/wildtype-01.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/wildtype-01.bam
YIL087C	IX	199646	200119	-	474	62
YIL085C	IX	200490	202043	-	1554	84
YIL084C	IX	202276	203259	-	984	25
YIL083C	IX	203556	204653	-	1098	41
YIL079C	IX	210923	212005	-	1083	23
YIL078W	IX	212499	214703	+	2205	591
YIL076W	IX	216658	217548	+	891	176
YIL075C	IX	217863	220700	-	2838	623
YIL074C	IX	221081	222490	-	1410	222
YIL073C	IX;IX	222937;225900	225809;225954	-;-	2928	24
YIL072W	IX	226602	228419	+	1818	6
YIL071C	IX	228660	229994	-	1335	31
YIL070C	IX	230272	231072	-	801	38
YIL069C	IX;IX	231553;232367	231957;232369	-;-	408	315
YIL068C	IX	233057	235474	-	2418	54
YIL066C	IX	238099	240708	-	2610	10
YIL065C	IX	241308	241775	-	468	59
YIL064W	IX	241943	242716	+	774	45
YIL063C	IX	242761	243744	-	984	80
YIL062C	IX	243998	244462	-	465	208
YIL061C	IX	244657	245559	-	903	18
YIL057C	IX	247902	248396	-	495	16
YIL056W	IX	249991	251913	+	1923	111
YIL052C	IX;IX	256226;257027	256554;257063	-;-	366	791
YIL051C	IX	257843	258280	-	438	464
YIL050W	IX	258913	259770	+	858	67
YIL049W	IX	260158	260919	+	762	18
YIL048W	IX	261437	264892	+	3456	74
YIL047C	IX	265115	267823	-	2709	115
YIL046W	IX	268651	270573	+	1923	63
YIL045W	IX	271161	272777	+	1617	46
YIL044C	IX	272950	273846	-	897	54
YIL043C	IX	274072	274926	-	855	392
YIL042C	IX	275108	276292	-	1185	76
YIL041W	IX	276525	277505	+	981	274
YIL040W	IX	277723	278139	+	417	37
YIL039W	IX	278426	279847	+	1422	113
YIL038C	IX	280142	282652	-	2511	73
YIL037C	IX	283029	284999	-	1971	8
YIL036W	IX	285666	287429	+	1764	152
YIL035C	IX	287790	288908	-	1119	58
YIL034C	IX	289226	290089	-	864	135
YIL033C	IX	290419	291669	-	1251	298
YIL031W	IX	292633	295737	+	3105	42
YIL030C	IX	296050	300009	-	3960	147
YIL026C	IX	304477	307929	-	3453	27
YIL023C	IX	309386	310426	-	1041	102
YIL022W	IX	311165	312460	+	1296	164
YIL021W	IX	312905	313861	+	957	115
YIL020C	IX	314035	314820	-	786	31
YIL019W	IX	315093	316133	+	1041	28
YIL018W	IX;IX	316768;317172	316771;317932	+;+	765	2061
YIL017C	IX	318200	320965	-	2766	104
YIL016W	IX	321454	321933	+	480	69
YIL015W	IX	322342	324105	+	1764	39
YIL014C-A	IX	325212	325526	-	315	4
YIL014W	IX	326103	327995	+	1893	48
YIL013C	IX	328207	332442	-	4236	28
YIL011W	IX	333727	334536	+	810	30
YIL010W	IX	334882	335529	+	648	37
YIL009C-A	IX;IX	335666;335937	335935;336212	-;-	546	19
YIL009W	IX	339344	341428	+	2085	35
YIL008W	IX	342536	342835	+	300	33
YIL007C	IX	342994	343656	-	663	49
YIL006W	IX	344062	345183	+	1122	23
YIL005W	IX	345692	347797	+	2106	66
YIL004C	IX;IX	347946;348495	348363;348505	-;-	429	23
YIL003W	IX	349122	350003	+	882	29
YIL002C	IX	350591	353431	-	2841	60
YIR001C	IX	356143	356895	-	753	32
YIR002C	IX	357415	360396	-	2982	55
YIR003W	IX	360885	362924	+	2040	145
YIR004W	IX	363221	364519	+	1299	115
YIR005W	IX	364889	365335	+	447	3
YIR006C	IX	365466	369908	-	4443	298
YIR007W	IX	370704	372998	+	2295	49
YIR008C	IX	373077	374306	-	1230	34
YIR009W	IX	374525	374860	+	336	14
YIR010W	IX	375431	377161	+	1731	31
YIR011C	IX	377287	378246	-	960	76
YIR012W	IX	378486	379781	+	1296	114
YIR013C	IX	380019	380384	-	366	0
YIR015W	IX	381948	382382	+	435	20
YIR017C	IX	383556	384119	-	564	26
YIR018W	IX	384609	385346	+	738	12
YIR020W-A	IX	394917	395159	+	243	0
YIR021W	IX	397294	398385	+	1092	38
YIR022W	IX	398733	399236	+	504	92
YIR023W	IX	399777	402689	+	2913	39
YIR025W	IX	403659	404765	+	1107	37
YIR026C	IX	404873	405967	-	1095	78
YIR027C	IX	406260	407642	-	1383	4
YIR028W	IX	408468	410375	+	1908	10
YIR029W	IX	410807	411838	+	1032	29
YIR030C	IX	412036	412770	-	735	3
YIR031C	IX	413015	414679	-	1665	29
YIR032C	IX	415030	415617	-	588	0
YIR033W	IX	416124	419465	+	3342	163
YIR034C	IX	419615	420736	-	1122	109
YIR036C	IX	422074	422865	-	792	129
YIR037W	IX	423128	423619	+	492	122
YIR038C	IX	423809	424513	-	705	88
YIR039C	IX	430498	432111	-	1614	26
YIR041W	IX	433929	434303	+	375	0
Q0010	Mito	3952	4338	+	387	0
Q0017	Mito	4254	4415	+	162	0
Q0032	Mito	11667	11957	+	291	0
Q0065	Mito;Mito;Mito;Mito	13818;16435;18954;20508	13986;16470;18991;21935	+;+;+;+	1671	0
Q0070	Mito;Mito;Mito;Mito;Mito	13818;16435;18954;20508;21995	13986;16470;18991;20984;23167	+;+;+;+;+	1893	0
Q0055	Mito;Mito	13818;16435	13986;18830	+;+	2565	0
Q0060	Mito;Mito;Mito	13818;16435;18954	13986;16470;19996	+;+;+	1248	0
Q0045	Mito;Mito;Mito;Mito;Mito;Mito;Mito;Mito	13818;16435;18954;20508;21995;23612;25318;26229	13986;16470;18991;20984;22246;23746;25342;26701	+;+;+;+;+;+;+;+	1605	0
Q0050	Mito	13818	16322	+	2505	0
Q0075	Mito;Mito	24156;24906	24870;25255	+;+	1065	0
Q0080	Mito	27666	27812	+	147	0
Q0085	Mito	28487	29266	+	780	0
Q0092	Mito	30874	31014	+	141	0
Q0105	Mito;Mito;Mito;Mito;Mito;Mito	36540;37723;39141;40841;42508;43297	36954;37736;39217;41090;42558;43647	+;+;+;+;+;+	1158	0
Q0115	Mito;Mito;Mito	36540;37723;39141	36954;37736;40265	+;+;+	1554	0
Q0110	Mito;Mito	36540;37723	36954;38579	+;+	1272	0
Q0120	Mito;Mito;Mito;Mito	36540;37723;39141;40841	36954;37736;39217;42251	+;+;+;+	1917	0
Q0130	Mito	46723	46953	+	231	0
Q0140	Mito	48901	50097	+	1197	0
Q0142	Mito	51052	51228	+	177	0
Q0143	Mito	51277	51429	+	153	0
Q0160	Mito	61022	61729	+	708	0
Q0182	Mito	65770	66174	+	405	0
Q0250	Mito	73758	74513	+	756	0
Q0255	Mito;Mito;Mito	74495;75663;75904	75622;75872;75984	+;+;+	1419	0
Q0275	Mito	79213	80022	+	810	0
Q0297	Mito	85554	85709	+	156	0
YEL075W-A	V	4870	5481	+	612	0
YEL072W	V	13720	14415	+	696	10
YEL071W	V	16355	17845	+	1491	211
YEL070W	V	19589	21097	+	1509	5
YEL069C	V	21537	23231	-	1695	11
YEL066W	V	26667	27206	+	540	33
YEL065W	V	27657	29543	+	1887	113
YEL064C	V	29797	31239	-	1443	26
YEL063C	V	31694	33466	-	1773	107
YEL062W	V	34407	36254	+	1848	24
YEL061C	V	36535	39537	-	3003	31
YEL060C	V	40046	41953	-	1908	674
YEL059C-A	V	42400	42624	-	225	8
YEL059W	V	42652	42960	+	309	5
YEL058W	V	43252	44925	+	1674	296
YEL057C	V	45020	45721	-	702	6
YEL056W	V	47168	48373	+	1206	82
YEL055C	V	48471	51539	-	3069	68
YEL054C	V	52721	53218	-	498	644
YEL053C	V	53901	56102	-	2202	39
YEL052W	V	56571	58100	+	1530	122
YEL051W	V	58378	59148	+	771	221
YEL050C	V	59670	60851	-	1182	74
YEL049W	V	63728	64090	+	363	4
YEL048C	V	64709	65167	-	459	4
YEL046C	V	67629	68792	-	1164	412
YEL044W	V	69757	70257	+	501	98
YEL042W	V	73771	75327	+	1557	157
YEL041W	V	75944	77431	+	1488	13
YEL040W	V	78053	79456	+	1404	619
YEL039C	V	79636	79977	-	342	59
YEL038W	V	80462	81145	+	684	126
YEL037C	V	81407	82603	-	1197	283
YEL036C	V	83050	84552	-	1503	148
YEL035C	V	85045	85545	-	501	0
YEL034W	V	85676	86149	+	474	1255
YEL033W	V	86179	86598	+	420	51
YEL032W	V	86937	89852	+	2916	86
YEL031W	V	90258	93905	+	3648	396
YEL030W	V	94644	96578	+	1935	20
YEL029C	V	96858	97796	-	939	20
YEL027W	V	100769	101251	+	483	605
YEL026W	V	101943	102323	+	381	255
YEL025C	V	102581	106147	-	3567	55
YEL024W	V	107260	107907	+	648	55
YEL022W	V	111421	115800	+	4380	93
YEL021W	V	116167	116970	+	804	0
YEL020W-A	V	117211	117474	+	264	34
YEL020C	V	118617	120299	-	1683	73
YEL019C	V	120498	121301	-	804	3
YEL018W	V	121471	122310	+	840	54
YEL017C-A	V	122798	122929	-	132	176
YEL017W	V	123657	124670	+	1014	58
YEL016C	V	124737	126218	-	1482	49
YEL015W	V	126629	128284	+	1656	117
YEL013W	V	128825	130561	+	1737	74
YEL012W	V;V	131772;131900	131776;132551	+;+	657	70
YEL011W	V	133120	135234	+	2115	690
YEL009C	V	138918	139763	-	846	869
YEL007W	V	141892	143892	+	2001	123
YEL006W	V	144327	145334	+	1008	36
YEL005C	V	145907	146755	-	849	20
YEL004W	V	146951	147979	+	1029	11
YEL003W	V;V	148176;148283	148194;148599	+;+	336	23
YEL002C	V	148722	150014	-	1293	180
YEL001C	V	150301	150978	-	678	154
YER001W	V	153520	155808	+	2289	91
YER002W	V	156803	157498	+	696	77
YER003C	V;V	157736;159088	158994;159118	-;-	1290	115
YER004W	V	159580	160275	+	696	163
YER005W	V	160550	162442	+	1893	49
YER006W	V	162723	164285	+	1563	89
YER007W	V	164527	166083	+	1557	4
YER007C-A	V;V	166237;166875	166771;166885	-;-	546	94
YER008C	V	167808	171818	-	4011	101
YER009W	V	172115	172492	+	378	237
YER011W	V	175248	176012	+	765	152
YER012W	V	177835	178431	+	597	208
YER013W	V	178841	182278	+	3438	32
YER014W	V	182600	184219	+	1620	22
YER014C-A	V;V	183731;184678	184169;184700	-;-	462	0
YER015W	V	184541	186775	+	2235	31
YER016W	V	188277	189311	+	1035	114
YER017C	V	189503	191788	-	2286	114
YER018C	V	191959	192624	-	666	91
YER019W	V	192797	194230	+	1434	159
YER019C-A	V	194273	194539	-	267	261
YER020W	V	195168	196517	+	1350	224
YER021W	V	196948	198519	+	1572	174
YER022W	V	198812	200875	+	2064	46
YER023W	V	201076	201936	+	861	369
YER024W	V	202192	204963	+	2772	47
YER025W	V	205251	206834	+	1584	321
YER026C	V	207644	208474	-	831	202
YER027C	V	208979	210232	-	1254	106
YER028C	V	210692	211876	-	1185	36
YER029C	V	212587	213177	-	591	33
YER030W	V	213437	213898	+	462	74
YER031C	V	214076	214747	-	672	248
YER032W	V	215063	217693	+	2631	18
YER033C	V	218057	221287	-	3231	41
YER035W	V	222639	223076	+	438	58
YER036C	V	223367	225199	-	1833	411
YER037W	V	225889	226854	+	966	55
YER038C	V	226858	228252	-	1395	7
YER038W-A	V	228451	228831	+	381	0
YER039C	V	228456	229205	-	750	7
YER040W	V	229795	231987	+	2193	65
YER041W	V	232461	234740	+	2280	21
YER042W	V	234937	235491	+	555	32
YER043C	V	235770	237119	-	1350	1010
YER044C	V	237570	238016	-	447	90
YER044C-A	V;V	238460;239712	239623;239774	-;-	1227	0
YER045C	V	240032	241501	-	1470	59
YER046W	V	243180	243611	+	432	20
YER047C	V	243810	246503	-	2694	45
YER048C	V	246982	248157	-	1176	155
YER048W-A	V	250718	251002	+	285	30
YER049W	V	251728	253662	+	1935	69
YER050C	V	253971	254387	-	417	42
YER051W	V	254656	256134	+	1479	16
YER052C	V	256375	257958	-	1584	231
YER053C	V	258737	259639	-	903	237
YER054C	V	262052	263698	-	1647	58
YER055C	V	264892	265785	-	894	515
YER056C	V	266512	268113	-	1602	390
YER056C-A	V;V	269423;270149	269751;270185	-;-	366	447
YER057C	V	270737	271126	-	390	209
YER058W	V	271768	272091	+	324	36
YER059W	V	272624	273886	+	1263	72
YER060W	V	274567	276153	+	1587	65
YER060W-A	V	276572	278164	+	1593	16
YER061C	V	278298	279626	-	1329	52
YER063W	V	281710	282366	+	657	83
YER064C	V	282705	284222	-	1518	244
YER065C	V	285241	286914	-	1674	74
YER066W	V	290242	290799	+	558	19
YER067W	V	292066	292551	+	486	884
YER068W	V	293050	294813	+	1764	89
YER069W	V	295410	298001	+	2592	59
YER070W	V	298950	301616	+	2667	114
YER071C	V	301947	302327	-	381	5
YER072W	V	302806	303195	+	390	430
YER073W	V	304030	305592	+	1563	497
YER074W	V;V	306323;306792	306325;307196	+;+	408	885
YER074W-A	V;V;V	307653;307849;308068	307746;307956;308123	+;+;+	258	33
YER075C	V	308413	311199	-	2787	15
YER077C	V	314534	316600	-	2067	24
YER078C	V	316807	318342	-	1536	47
YER080W	V	319963	321846	+	1884	81
YER081W	V	322686	324095	+	1410	83
YER082C	V	324272	325936	-	1665	45
YER083C	V	326174	327031	-	858	110
YER086W	V	328477	330207	+	1731	275
YER087W	V	330576	332306	+	1731	47
YER087C-B	V	332582	332830	-	249	61
YER088C	V	333176	335188	-	2013	434
YER089C	V	335946	337340	-	1395	333
YER090W	V	337949	339472	+	1524	206
YER091C	V	339864	342167	-	2304	746
YER092W	V	342855	343232	+	378	34
YER093C	V	343320	347612	-	4293	52
YER093C-A	V;V	347912;348277	348201;348400	-;-	414	18
YER094C	V	348729	349346	-	618	382
YER095W	V	349980	351182	+	1203	143
YER096W	V	351698	353236	+	1539	5
YER098W	V	355466	357730	+	2265	46
YER099C	V	358105	359061	-	957	68
YER100W	V	359562	360314	+	753	78
YER101C	V	360502	361794	-	1293	16
YER102W	V	363100	363702	+	603	260
YER103W	V	364589	366517	+	1929	59
YER104W	V	366802	367428	+	627	13
YER105C	V	367838	372013	-	4176	76
YER106W	V	372326	373234	+	909	3
YER107C	V	373448	374545	-	1098	99
YER110C	V	378762	382103	-	3342	169
YER111C	V	382595	385876	-	3282	57
YER112W	V	387232	387795	+	564	75
YER113C	V	387932	390052	-	2121	53
YER114C	V	390590	393712	-	3123	90
YER115C	V	394292	394867	-	576	25
YER116C	V	395348	396172	-	825	53
YER117W	V;V	396769;397282	396810;397653	+;+	414	863
YER118C	V	397952	399055	-	1104	64
YER119C	V	399496	400842	-	1347	126
YER120W	V	401135	401869	+	735	303
YER122C	V	402871	404352	-	1482	174
YER123W	V	404813	406387	+	1575	45
YER124C	V	407342	409063	-	1722	100
YER125W	V	410189	412618	+	2430	237
YER126C	V	413394	414179	-	786	51
YER127W	V	414481	415554	+	1074	26
YER128W	V	415859	416470	+	612	6
YER129W	V	417281	420709	+	3429	97
YER130C	V	421115	422446	-	1332	53
YER131W	V	423952	424311	+	360	830
YER132C	V	425188	430449	-	5262	40
YER133W	V;V	432495;433197	432671;433958	+;+	939	140
YER134C	V	437267	437803	-	537	59
YER136W	V	439616	440971	+	1356	241
YER139C	V	450563	451243	-	681	14
YER140W	V	451565	453235	+	1671	27
YER141W	V	453459	454919	+	1461	153
YER142C	V	455146	456036	-	891	34
YER143W	V	456319	457605	+	1287	108
YER144C	V	457806	460223	-	2418	84
YER145C	V	460526	461740	-	1215	232
YER146W	V	462585	462866	+	282	76
YER147C	V	462968	464842	-	1875	50
YER148W	V	465303	466025	+	723	101
YER149C	V	466208	467470	-	1263	19
YER150W	V	468370	468816	+	447	196
YER151C	V	469686	472424	-	2739	93
YER153C	V	474041	474805	-	765	18
YER154W	V	475020	476228	+	1209	126
YER155C	V	476345	482848	-	6504	131
YER157W	V	484788	487193	+	2406	22
YER159C	V	491530	491958	-	429	97
YER161C	V	499347	500348	-	1002	81
YER162C	V	500630	502894	-	2265	66
YER163C	V	503084	503782	-	699	84
YER164W	V	505392	509798	+	4407	114
YER165W	V	510373	512106	+	1734	579
YER166W	V	512744	517459	+	4716	195
YER167W	V	518216	520771	+	2556	93
YER168C	V	521029	522669	-	1641	31
YER169W	V	523369	525759	+	2391	49
YER170W	V	525974	526651	+	678	20
YER171W	V	527082	529418	+	2337	46
YER172C	V	529530	536021	-	6492	76
YER173W	V	536300	538279	+	1980	23
YER174C	V	538434	539168	-	735	38
YER175C	V	539464	540363	-	900	30
YER176W	V	541690	545055	+	3366	80
YER177W	V	545611	546414	+	804	1132
YER178W	V	546817	548079	+	1263	555
YER179W	V;V	548421;548645	548552;549517	+;+	1005	15
YER180C	V	549724	550527	-	804	18
YER180C-A	V	550865	551122	-	258	8
YER182W	V	552525	553259	+	735	44
YER183C	V	553334	553969	-	636	33
YER184C	V	556296	558680	-	2385	27
YER185W	V	559454	560365	+	912	2
YER190W	V	571480	576525	+	5046	3
YFL062W	VI	6426	7565	+	1140	0
YFL061W	VI	9545	10222	+	678	0
YFL060C	VI	10301	10969	-	669	1
YFL059W	VI	11363	12259	+	897	1
YFL058W	VI	12929	13951	+	1023	0
YFL055W	VI	17004	18680	+	1677	19
YFL054C	VI	20847	22787	-	1941	69
YFL053W	VI	23423	25198	+	1776	17
YFL050C	VI	33272	35848	-	2577	32
YFL049W	VI	36803	38674	+	1872	39
YFL048C	VI	38843	40180	-	1338	95
YFL047W	VI	40421	42565	+	2145	35
YFL046W	VI	42815	43438	+	624	31
YFL045C	VI	43628	44392	-	765	317
YFL044C	VI	44655	45560	-	906	61
YFL041W	VI	49139	51007	+	1869	98
YFL039C	VI;VI	53260;54687	54377;54696	-;-	1128	2112
YFL038C	VI	55366	55986	-	621	599
YFL037W	VI	56336	57709	+	1374	521
YFL036W	VI	58782	62837	+	4056	133
YFL034C-B	VI;VI	63016;63974	63859;63993	-;-	864	39
YFL034C-A	VI;VI	64243;64921	64599;64932	-;-	369	31
YFL034W	VI	65477	68698	+	3222	66
YFL033C	VI	69115	74427	-	5313	99
YFL031W	VI;VI	75179;76092	75839;76147	+;+	717	256
YFL031C-A	VI	76014	76115	-	102	3
YFL030W	VI	76831	77988	+	1158	32
YFL029C	VI	78055	79161	-	1107	71
YFL028C	VI	79344	80213	-	870	56
YFL027C	VI	80419	81912	-	1494	29
YFL026W	VI	82580	83875	+	1296	190
YFL025C	VI	84145	87234	-	3090	36
YFL024C	VI	87847	90345	-	2499	59
YFL023W	VI	90986	93376	+	2391	17
YFL022C	VI	93499	95010	-	1512	262
YFL021W	VI	95966	97498	+	1533	78
YFL020C	VI	99231	99599	-	369	0
YFL018C	VI	101628	103127	-	1500	385
YFL017W-A	VI	103699	103932	+	234	20
YFL017C	VI	103983	104462	-	480	35
YFL016C	VI	104701	106236	-	1536	159
YFL014W	VI	107256	107585	+	330	7
YFL013C	VI	107852	109930	-	2079	86
YFL012W-A	VI	109810	110184	+	375	0
YFL011W	VI	112345	113985	+	1641	6
YFL010W-A	VI	114990	115274	+	285	20
YFL010C	VI	115108	115743	-	636	167
YFL009W	VI	116145	118484	+	2340	49
YFL008W	VI	119429	123106	+	3678	35
YFL007W	VI	123479	129910	+	6432	158
YFL005W	VI	130334	130981	+	648	209
YFL004W	VI	131810	134296	+	2487	164
YFL003C	VI	134521	137157	-	2637	4
YFL002C	VI	145114	146934	-	1821	24
YFL001W	VI	147131	148459	+	1329	35
YFR001W	VI	149110	149724	+	615	26
YFR002W	VI	150016	152535	+	2520	76
YFR003C	VI	152657	153124	-	468	67
YFR004W	VI	153393	154313	+	921	277
YFR005C	VI	154527	155873	-	1347	14
YFR007W	VI	159299	160360	+	1062	22
YFR008W	VI	160535	161200	+	666	19
YFR009W	VI	162488	164746	+	2259	222
YFR010W	VI	165067	166566	+	1500	136
YFR012W	VI	167888	168496	+	609	0
YFR013W	VI	169922	172285	+	2364	61
YFR014C	VI	172537	173877	-	1341	152
YFR015C	VI	174265	176391	-	2127	1237
YFR017C	VI	182274	182861	-	588	206
YFR019W	VI	184502	191338	+	6837	71
YFR020W	VI	192737	193435	+	699	44
YFR021W	VI	194812	196314	+	1503	58
YFR022W	VI	196833	199034	+	2202	25
YFR023W	VI	199874	201709	+	1836	1
YFR024C-A	VI;VI	201960;203387	203292;203433	-;-	1380	225
YFR025C	VI	203743	204750	-	1008	66
YFR026C	VI	205748	206257	-	510	7
YFR027W	VI	207452	208297	+	846	17
YFR028C	VI	208413	210068	-	1656	52
YFR029W	VI	210937	212973	+	2037	50
YFR030W	VI	213312	216419	+	3108	57
YFR031C	VI	216594	220106	-	3513	36
YFR031C-A	VI;VI	220507;221415	221267;221418	-;-	765	1162
YFR032C	VI	222090	222959	-	870	1
YFR032C-A	VI	223258	223437	-	180	727
YFR033C	VI	224326	224769	-	444	125
YFR034C	VI	225020	225958	-	939	62
YFR036W	VI	226963	227337	+	375	14
YFR037C	VI	227513	229186	-	1674	311
YFR038W	VI	229380	231941	+	2562	41
YFR039C	VI	232012	233544	-	1533	52
YFR040W	VI	234242	237250	+	3009	137
YFR041C	VI	237368	238255	-	888	46
YFR042W	VI	238458	239060	+	603	22
YFR043C	VI	239114	239827	-	714	14
YFR044C	VI	239992	241437	-	1446	304
YFR046C	VI	243074	244159	-	1086	22
YFR047C	VI	244279	245166	-	888	138
YFR048W	VI	246146	248134	+	1989	40
YFR049W	VI	248523	248894	+	372	54
YFR050C	VI	249066	249866	-	801	233
YFR051C	VI	250163	251803	-	1641	299
YFR052W	VI	252505	253329	+	825	105
YFR053C	VI	253592	255049	-	1458	1888
YFR055W	VI	264204	265226	+	1023	210
YGL263W	VII	2790	3932	+	1143	4
YGL261C	VII	6290	6652	-	363	1
YGL259W	VII	8470	8967	+	498	3
YGL258W	VII	11110	11730	+	621	4
YGL257C	VII	12481	14157	-	1677	52
YGL256W	VII	15159	16307	+	1149	66
YGL255W	VII	20978	22108	+	1131	122
YGL254W	VII	22304	23203	+	900	25
YGL253W	VII	23935	25395	+	1461	2822
YGL252C	VII	25718	27484	-	1767	179
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	16
YGL250W	VII	31910	32635	+	726	36
YGL249W	VII	33098	35212	+	2115	8
YGL248W	VII	35653	36762	+	1110	96
YGL247W	VII	36933	37526	+	594	9
YGL246C	VII	37617	38780	-	1164	45
YGL245W	VII	39023	41149	+	2127	724
YGL244W	VII	41498	43174	+	1677	108
YGL243W	VII	43307	44509	+	1203	8
YGL241W	VII	45445	48459	+	3015	48
YGL240W	VII	48613	49365	+	753	7
YGL238W	VII	49552	52434	+	2883	88
YGL237C	VII	52731	53528	-	798	48
YGL236C	VII	53787	55796	-	2010	47
YGL234W	VII	56482	58890	+	2409	697
YGL233W	VII	59122	61854	+	2733	54
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	36
YGL231C	VII	63048	63620	-	573	115
YGL229C	VII	64503	66959	-	2457	34
YGL228W	VII	67598	69331	+	1734	186
YGL227W	VII	69671	72547	+	2877	125
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	50
YGL226W	VII	73340	73711	+	372	33
YGL225W	VII	76894	77907	+	1014	229
YGL224C	VII	78015	78857	-	843	73
YGL223C	VII	79112	80365	-	1254	37
YGL222C	VII	80659	81186	-	528	14
YGL221C	VII	81426	82292	-	867	126
YGL219C	VII	82878	84257	-	1380	48
YGL218W	VII	83650	84300	+	651	0
YGL216W	VII	84885	87302	+	2418	42
YGL215W	VII	87981	89339	+	1359	153
YGL213C	VII	90054	91247	-	1194	58
YGL212W	VII	91432	92382	+	951	27
YGL211W	VII	92512	93591	+	1080	74
YGL210W	VII	93792	94460	+	669	47
YGL209W	VII	95858	97006	+	1149	200
YGL208W	VII	97338	98585	+	1248	50
YGL207W	VII	98969	102076	+	3108	163
YGL206C	VII	102543	107504	-	4962	209
YGL205W	VII	108158	110404	+	2247	15
YGL203C	VII	112475	114664	-	2190	95
YGL202W	VII	116059	117561	+	1503	398
YGL201C	VII	117854	120907	-	3054	60
YGL200C	VII	122694	123305	-	612	344
YGL198W	VII	123591	124298	+	708	203
YGL197W	VII	124698	129161	+	4464	119
YGL196W	VII	129883	131169	+	1287	113
YGL195W	VII	131525	139543	+	8019	362
YGL194C	VII	140368	141726	-	1359	14
YGL192W	VII	142246	144048	+	1803	66
YGL191W	VII	144808	145197	+	390	75
YGL190C	VII	145809	147389	-	1581	119
YGL189C	VII	148229	148588	-	360	1024
YGL187C	VII	149704	150171	-	468	65
YGL186C	VII	151037	152776	-	1740	153
YGL184C	VII	154615	156012	-	1398	29
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	1
YGL181W	VII	157906	159096	+	1191	146
YGL180W	VII	160065	162758	+	2694	37
YGL179C	VII	163409	165091	-	1683	45
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	39
YGL175C	VII	173285	174322	-	1038	8
YGL174W	VII	174545	175345	+	801	15
YGL173C	VII	175527	180113	-	4587	335
YGL172W	VII	180700	182118	+	1419	108
YGL171W	VII	182390	184084	+	1695	21
YGL170C	VII	184153	185394	-	1242	0
YGL169W	VII	186059	187339	+	1281	39
YGL168W	VII	187464	187796	+	333	15
YGL167C	VII	187616	190468	-	2853	175
YGL166W	VII	191129	191806	+	678	71
YGL164C	VII	191978	193300	-	1323	48
YGL163C	VII	193707	196403	-	2697	59
YGL162W	VII	198138	199037	+	900	79
YGL161C	VII	199210	200142	-	933	166
YGL160W	VII	200561	202273	+	1713	43
YGL158W	VII	207033	208571	+	1539	21
YGL157W	VII	209006	210049	+	1044	99
YGL156W	VII	210416	213667	+	3252	45
YGL155W	VII	214081	215211	+	1131	28
YGL154C	VII	215278	216096	-	819	27
YGL153W	VII	216273	217298	+	1026	27
YGL151W	VII	217524	220922	+	3399	70
YGL150C	VII	221104	225573	-	4470	142
YGL148W	VII	226399	227529	+	1131	609
YGL147C	VII	227754	228329	-	576	1421
YGL146C	VII	228751	229686	-	936	6
YGL145W	VII	230243	232348	+	2106	25
YGL144C	VII	232450	234507	-	2058	23
YGL143C	VII	234717	235958	-	1242	30
YGL142C	VII	236269	238119	-	1851	39
YGL141W	VII	238353	241085	+	2733	49
YGL139W	VII	245716	248124	+	2409	61
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	302
YGL136C	VII	252897	253859	-	963	25
YGL135W	VII	254641	255294	+	654	441
YGL134W	VII	255663	256964	+	1302	34
YGL133W	VII	257707	261501	+	3795	53
YGL131C	VII	261648	265859	-	4212	40
YGL130W	VII	266145	267524	+	1380	66
YGL129C	VII	267723	269075	-	1353	48
YGL128C	VII	269293	270144	-	852	23
YGL127C	VII	270392	270775	-	384	22
YGL126W	VII	270997	272139	+	1143	228
YGL125W	VII	272520	274322	+	1803	115
YGL124C	VII	274780	276714	-	1935	35
YGL123W	VII	277617	278381	+	765	3063
YGL122C	VII	278946	280523	-	1578	228
YGL121C	VII	280777	281157	-	381	10
YGL120C	VII	281634	283937	-	2304	112
YGL119W	VII	284442	285947	+	1506	24
YGL116W	VII	289809	291641	+	1833	40
YGL115W	VII	292033	293001	+	969	97
YGL113W	VII	295932	297938	+	2007	22
YGL112C	VII	298178	299728	-	1551	48
YGL111W	VII	299978	301369	+	1392	48
YGL110C	VII	301537	303411	-	1875	34
YGL107C	VII	304333	306273	-	1941	34
YGL106W	VII	306560	307009	+	450	224
YGL105W	VII	307437	308567	+	1131	467
YGL104C	VII	308713	310173	-	1461	38
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	1830
YGL100W	VII	313234	314283	+	1050	72
YGL099W	VII	314631	316553	+	1923	54
YGL098W	VII	317342	318079	+	738	39
YGL097W	VII	321782	323230	+	1449	132
YGL096W	VII	325331	326161	+	831	12
YGL095C	VII	328874	330607	-	1734	61
YGL094C	VII	331118	334465	-	3348	65
YGL093W	VII	334886	337639	+	2754	53
YGL092W	VII	337906	341859	+	3954	95
YGL091C	VII	342056	343042	-	987	23
YGL090W	VII	343319	344584	+	1266	22
